source_file,raw_rows,usable_timepoint_rows,timepoint_rows_with_measure,candidate_segments,valid_segments,monthly_panel_rows,routes,months
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-01.csv,2313881,2149720,1825721,1543779,1540454,1376,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-02.csv,2123586,1962710,1672199,1413330,1410061,1371,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-03.csv,2431263,2249025,1928238,1629553,1625887,1372,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-04.csv,2244861,2074127,1771633,1497230,1493806,1372,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-05.csv,2367439,2159562,1845101,1557737,1553948,1374,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-06.csv,2272322,2032698,1735861,1463198,1459751,1374,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-07.csv,2169697,1978656,1690507,1428677,1425513,1371,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-08.csv,2276295,2064908,1762592,1487821,1484478,1372,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-09.csv,2192992,2023999,1716411,1449521,1445950,1374,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-10.csv,2277212,2096391,1783965,1505850,1502170,1373,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-11.csv,2216057,2043190,1735874,1465725,1462047,1373,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2023\MBTA-Bus-Arrival-Departure-Times_2023-12.csv,2210186,2025269,1716620,1450276,1446704,1374,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-01.csv,2268434,2099200,1786412,1509469,1505627,1375,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-02.csv,2140130,1991659,1697857,1435557,1432029,1371,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-03.csv,2268840,2098594,1783523,1507237,1503597,1373,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-04.csv,2229612,2059265,1740459,1468510,1464880,1369,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-05.csv,2295057,2113355,1780464,1501759,1497964,1366,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-06.csv,2184566,2004744,1694575,1430038,1426578,1339,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-07.csv,2281567,2101637,1773968,1497701,1494206,1339,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-08.csv,2299891,2131359,1795380,1514660,1511260,1341,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-09.csv,2184480,2026062,1685035,1419129,1416300,1338,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-10.csv,2328739,2165024,1799748,1515155,1512117,1337,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-11.csv,2199988,2048430,1700563,1432708,1429807,1337,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2024\MBTA-Bus-Arrival-Departure-Times_2024-12.csv,2367899,2159465,1760736,1483537,1444469,1339,141,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-01.csv,2357910,2216062,1782572,1492981,1490227,1351,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-02.csv,2130435,2000683,1606233,1345287,1342812,1351,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-03.csv,2354364,2206557,1771903,1483467,1480700,1352,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-04.csv,2324670,2181495,1742756,1459160,1456597,1353,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-05.csv,2371432,2223887,1776223,1488692,1486105,1350,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-06.csv,2296959,2144925,1704923,1427316,1424966,1353,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-07.csv,2374013,2237136,1774526,1486848,1484635,1351,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-08.csv,2368867,2221558,1759498,1473364,1471120,1357,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-09.csv,2272765,2139974,1689326,1414947,1412824,1355,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-10.csv,2469363,2329784,1841710,1542525,1540149,1356,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-11.csv,2314158,2188982,1718777,1440624,1438411,1355,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2025\MBTA-Bus-Arrival-Departure-Times_2025-12.csv,2480945,2341187,1850628,1550049,1547630,1358,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2026\MBTA-Bus-Arrival-Departure-Times_2026-01.csv,2439311,2290547,1810605,1515078,1512864,1357,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2026\MBTA-Bus-Arrival-Departure-Times_2026-02.csv,2194360,2055079,1621738,1356343,1354368,1378,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2026\MBTA-Bus-Arrival-Departure-Times_2026-03.csv,2506511,2381661,1887220,1580727,1578437,1375,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2026\MBTA-Bus-Arrival-Departure-Times_2026-04.csv,2459855,2318736,1823368,1522650,1520465,1380,142,1
data\raw\Boston\MBTA_Bus_Arrival_Departure_Times_2026\MBTA-Bus-Arrival-Departure-Times_2026-05.csv,2484472,2330009,1825395,1524103,1521970,1376,141,1
